English,French
part,partie
history,histoire
search,chercher
only,seulement
police,police
thought,pensais
help,aide
request,demande
kind,genre
month,mois
brother,frère
let,laisser
because,car
to put,mettre
no,aucun
leash,laisse
city,ville
each,chaque
speak,parlé
come,arrivé
should,devrait
baby,bébé
long time,longtemps
hours,heures
will,vont
while,pendant
meet again,revoir
any,aucune
square,place
speak,parle
understood,compris
knew,savais
were,étaient
Warning,attention
here is,voici
could,pourrais
case,affaire
give,donner
type,type
their,leurs
given,donné
train,train
body,corps
place,endroit
eyes,yeux
way,façon
listen,écoute
whose,dont
find,trouve
first,premier
lost,perdu
hand,main
first,première
side,côté
power,pouvoir
old,vieux
be,sois
here,tiens
morning,matin
so much,tellement
child,enfant
point,point
came,venu
after,suite
sorry,pardon
come,venez
in front of,devant
towards,vers
minutes,minutes
request,demandé
bedroom,chambre
placed,mis
beautiful,belle
law,droit
would like to,aimerais
today,aujourd'hui
husband,mari
cause,cause
finally,enfin
hope,espère
water,eau
Wait,attendez
left,parti
new,nouvelle
job,boulot
Stop,arrêter
would say,dirait
Earth,terre
account,compte
given,donne
far,loin
end,fin
believe,croire
sweetheart,chérie
large,gros
rather,plutôt
will have,aura
girls,filles
to play,jouer
office,bureau
